"","comments","neighbourhood_cleansed"
"15727","We stayed 3 nights at the studio and there are so many things to say..
this studio does not meet basic standards of cleanliness and safety, Airbnb should not allow to rent such a place. The low price can not justify it! That was easy to get the keys, probably the only good point of this Airbnb (with the location, close to subway station). The rest was UNACCEPTABLE, and we contacted Airbnb to let them know, the pictures were taken probably many years ago, and the flat is not like in the pics. It was dirty, and mostly NOT safe. Even for the """"price"""" that is ok, this is not possible to rent a flat like that !!!  I took a lot of pictures that I am going to send to Airbnb to prevent this flat. 

MAIN ROOM: 
- 1st day, we saw a cockroach on the floor (even if the building is old), that is not possible !!
- wall lamp in the room is broken (not like in the picture). 
- the studio is old but the main problem is the level of disrepair, dirtiness (water splash on the door of the bathroom), and safety (electrical outlet where it's written """"do not unplug"""" , why ??) 
- I m not going to detail everything (old computer on the floor that takes place for nothing, foam insulation on the wall, etc)
- kitchen and bath are dirty and outdated 
- ceiling lamp with visible wires (very dangerous!) 
- the fridge was not emptied by previous renters 

Bathroom:
- broken ventilation in the bathroom is very dusty but still works (really unsafe)
- there is some mold on the bathroom's ceinling and some sanitary napkins to contain it !!! (this is more than dirty !!!)

For sure we were expecting a small and basic studio (as the pictures are showing) but not such an unhealthy place. This is unacceptable 
Pierre","Mission Hill"
"27480.1","I would not recommend staying here.

Location - The apartment was in a good area as far as transit and walking goes.  I didn't have any trouble finding parking on the street and left my car for 2 nights without issue.

Bedroom - The bedroom was tiny.  The picture is just about the entire room.  The apartment is just above a Subway and the smell of bread was extremely strong.  The Subway also plays music starting sometime around 6:00 - 6:30 AM and it woke me up each morning.

Bathroom - The bathroom was shared, which is awkward in some instances but overall not terrible.  Problem is the bathroom was gross.  There was hair everything and a huge clump in the drain that swirled around when I turned the shower on.  I was so grossed out from the shower that I did not even shower the last morning.

Cleanliness - The bedroom was clean but that is it.  I already mentioned the bathroom but the apartment itself wasn't overly clean either.  In the middle of the living room there was a huge rack where the host was drying her pants.  I wouldn't care too much that the place was a bit messy but the host had a rule about no shoes and asked us to wear these ridiculous """"sandals"""" around the place.  

Friendliness - I would not classify the host as friendly.  She wasn't rude but definitely wasn't nice.  Every encounter was awkward.  I asked if I could store my bike on her patio and she just flat refused.  Her patio is quite large and empty.  She just wasn't very accommodating. 

Sleeping - The room was listed as sleeping three but what we found was one """"bed"""" and one air mattress.  The bed was not comfortable and the air mattress is an air mattress.  I would not recommend staying here with more than two guests.

Overall - I would not recommend that you stay here.  I was looking for alternative places to stay as soon as we """"checked in"""" but on such short notice I wasn't able to find anything.  Next time I travel to Boston I will absolutely not considering staying here again no matter the price.  

Final Note - I honestly felt that the profile for this place is borderline false advertising.  The room doesn't really sleep three, it's not cozy at all (it's tiny), it smells of Subway (not in a good way), the host isn't friendly, and the host isn't very accommodating.  If you have a choice, choose to stay elsewhere.","Mission Hill"
"15742","Sean seems  to have a lot of places to rent out in Boston, but he is relatively responsive and was very patient when I had a hard time to try to open the key locker. 

The location is good. But since it is pretty cheap to stay, you get what you pay for. The light is blinking so I had to go buy a new light bulb. The restroom is the part which I do not particularly like. There were no shampoo, body soap prepared. I have to admit I wasn't feeling comfortable to take shower there. But to be honest, if you pay less, don't expect more right?  I am not sure if I am the one who is picky or not. 

The internet is ok if you don't need watch videos on line. I was in Boston for Career Forum and it took me 2 hours to watch a 40 min company introduction video because of the slow connection. I was very frustrated but again whom I can blame?

The room is not really clean but I had clean sheet, clean towels. I could not find the heater? so it was a little bit chilly during the night. 
I think there is a lot of improvements can be done in that room but again I only paid that little money to stay. I didn't expect much but if you care about cleanliness and comfort, I recommend you to pay more for a better place.  

But I have to say Sean is a good guy. Since I forgot my charger in his house, he shipped it to me with express shipping. I really appreciate him doing that for me. 

I think for me, he just really needs to hire one guy to clean the whole place once thoroughly. ","Mission Hill"
"15728","Die Kommunikation mit Sean war sehr gut. Das Zimmer ist in einer sehr guten Lage und günstig.
Das Bad ist sehr heruntergekommen an der Decke klebten 2 Damenbinden um irgendwas zu verdecken oder zu flicken. 
Beim nächsten Mal werden wir mehr Geld für ein Zimmer investieren.","Mission Hill"
"28529","We rented this loft for the weekend in Boston and had a great time. The apartment is very large, two bedrooms and 2 bathrooms, and a very spacious living room. There is a pool table and many sofas, an HD TV with neflix, and a large library. Joe was very nice and helpful with our stay, and I definitely recommend people to rent from them.","Leather District"
"28698","Great stay in Boston with a very convenient location. I attended a conference at the Boston Convention Center and was able to walk. Jazz was a great host and provided coffee each morning.","Leather District"
"15705","The room is old and pictures are outdated and misleading. There isnt bed, just matress on the floor.","Mission Hill"
"15693.2","Communication with the host was satisfactory. The Apartment was very disappointing. There was no stopper for the bath or basin and the basin faucet dripped all the time. The cover was missing from the extract fan which was clogged with dust. The bed was a mattress on the floor. My wife and I are 68 and fortunately we are both fit but the mattress would have been a problem for a less able couple.The smoke detector in the bedroom was hanging from the ceiling  secured by the electrical wiring. Both blinds in the bedroom were broken and did not operate. There was mold on the bathroom tiles.Only one element on the cooker worked. The whole apartment would have been vastly improved with a decoration and attention given to the above points none of which would have involved large financial expense.
I would not recommend this apartment to anyone.","Mission Hill"
"15663","We ended up wasting our money on this booking as Sean did not meet us at our scheduled meeting time.  Over an hour later and after several calls, Sean showed no urgency to get to the apartment. We were willing to wait when he said he was on his way, but when we called him later and he was still doing other things, we decided to seek accommodation elsewhere. We were extremely disappointed by Sean's careless attitude after a long journey to get to Boston. ","Mission Hill"
"28543","Joe was a perfect host. He met us at the train station and personally showed us around the apartment in detail.
He recommended local restaurants and provided a list of museums and other attractions, which provided a number of great experiences during our weekend.
His apartment was fantastic: spacious, clean, and with a great atmosphere. It's so close to South Station (3 minute walk) that it was very convenient to walk to the train for a day trip, and to return home on our last day.
We would definitely love to stay at Joe's again if visiting Boston.","Leather District"
"16502","This was the second time in as many weeks that we, as a company, have used Nicolas' property. Excellent the first timer and just as excellent the second. Great location for the Boston Convention Centre a nice walk or very short taxi ride. Will be staying there again for sure.","Leather District"
"16503","Nicolas has a _STELLAR_ place. It is amazing in every way possible. This is where you want to stay when in Downtown Boston.","Leather District"
"28631","Jazz was an amazing host and her apartment was stunning and so close to everything.  The apartment is very spacious and looks exactly like the photos. It was an easy walk to town and the harbour and the metro was only a block or so away. Jess was so attentive, friendly and helpful. She gave us suggestions on places to eat and visit and even ducked to the store to get us milk. She was always quick to reply to our emails and any queries we had. We had a great couple of nights chatting with Jazz and sharing a glass of wine. We couldn't recommend Jazz or her place highly enough.","Leather District"
"13215","We had a great experience in Matthew's apartment: Spacious, tastefully furnished, and clean apartment very close to South Station. Well equipped and maintained, towels were available etc.

Matthew was very welcoming and flexible regarding check-in and check-out time, which allowed us to arrive after 10pm and check out after 7pm.

Would stay here again.","Leather District"
"28540","Joe was very helpful and accommodating in both setting up our stay and while we were in Boston.   The location of his loft is perfect.  Close to everything while also tucked away in the leather district near south station.  House was perfect for the reunion of my three brothers.  The layout of the living and game room makes for a very fun play to hang out, have fun and talk.   We spent many later nights playing pool and having fun.  I'll be back. ","Leather District"
"15727.2","We stayed 3 nights at the studio and there are so many things to say..
this studio does not meet basic standards of cleanliness and safety, Airbnb should not allow to rent such a place. The low price can not justify it! That was easy to get the keys, probably the only good point of this Airbnb (with the location, close to subway station). The rest was UNACCEPTABLE, and we contacted Airbnb to let them know, the pictures were taken probably many years ago, and the flat is not like in the pics. It was dirty, and mostly NOT safe. Even for the """"price"""" that is ok, this is not possible to rent a flat like that !!!  I took a lot of pictures that I am going to send to Airbnb to prevent this flat. 

MAIN ROOM: 
- 1st day, we saw a cockroach on the floor (even if the building is old), that is not possible !!
- wall lamp in the room is broken (not like in the picture). 
- the studio is old but the main problem is the level of disrepair, dirtiness (water splash on the door of the bathroom), and safety (electrical outlet where it's written """"do not unplug"""" , why ??) 
- I m not going to detail everything (old computer on the floor that takes place for nothing, foam insulation on the wall, etc)
- kitchen and bath are dirty and outdated 
- ceiling lamp with visible wires (very dangerous!) 
- the fridge was not emptied by previous renters 

Bathroom:
- broken ventilation in the bathroom is very dusty but still works (really unsafe)
- there is some mold on the bathroom's ceinling and some sanitary napkins to contain it !!! (this is more than dirty !!!)

For sure we were expecting a small and basic studio (as the pictures are showing) but not such an unhealthy place. This is unacceptable 
Pierre","Mission Hill"
"13223","Great host, great experience. Apartment was great, centrally located, clean and really comfortable! Matthew was also super responsive and helpful!","Leather District"
"789.1","I had a long stay there for business (~20 days).  Unfortunately my experience with Sean was not fun.  I will try to review his place in fairness.

Pros:
-The location was perfect. Very close to subway, buses, hubway, stop and shop, walgreens, restaurants and cafe.
-Good price. Based on the location, this low price is very attractive.
-Kitchenette is not gorgeous but has everything you need for simple stuff.  A grill, refrigerator and freezer, microwave (Sean brought it for me), pans, and silver ware.  Espresso machine if you'd like.
-Small but ok room. A Bed, a small sofa, little space to put a suitcase, and kitchenette. That's it.  I put one of my suitcases under the bad.  You have to be creative to find a place to eat and use laptop.

Cons:
-The bath room was nasty. There was no cleaning tools and I wonder when it was cleaned last time.  The bath tub was not draining water very well: it took hours to become empty.  I contacted Sean and asked to fix it.  After 2 weeks or so, Sean came to the room and started a big construction --- breaking the walls and floor around the bath tub and changing the drain pipe.  Not only that I couldn't use the bath tub for several days, this tiny room was cover by dusts, including my foods and bed.  I couldn't accept this conditions, and called Airbnb fro help.  After sending photos, Airbnb understood the situations, refunded for the remaining days, and allowed me to relocate to a nearby hotel by covering some cost for it.  Although Airbnb took care of this incident pretty well, it was a lot of unnecessary hustle during my business trip.
-Wifi was really slow.
-Sean's response to my Emails were slow.  Even after I requested him to change towels and sheets, he didn't respond to most of the time.

Summary:
I had a big trouble with Sean, but now he has fixed the problem with the bath tub.  Is it worth staying now? Maybe.
Airbnb customer service was nice.  It was hard to find contact number (phone number hidden)), but after I explained my troubles their response was generous.
","Mission Hill"
"28534","Joe and Colleen were beyond amazing! We arrived much later than our check in time and they were so understanding. They gave us great suggestions for where to visit and where to eat and even left snacks and beverages in the fridge for us, which was such a nice touch. Besides their incredible hospitality, the apartment is gorgeous! Beautiful windows, comfy leather couches, and a fabulous pool table to enjoy. Although we were out and about for most of our trip, coming home to this apartment made our stay in Boston infinitely more enjoyable. Perfect for two couples on a weekend getaway. ","Leather District"
"28697","The room was fantastic, clean, comfortable, and super centrally located. Jazz made things very easy, and welcoming. I would stay again! ","Leather District"
"28690","Wonderful host! Jazz was super flexible, friendly, and very welcoming.      I really enjoyed meeting her and staying at her place. 

Her bed was also extremely comfortable and her place is impeccably clean!","Leather District"
"15742.1","Sean seems  to have a lot of places to rent out in Boston, but he is relatively responsive and was very patient when I had a hard time to try to open the key locker. 

The location is good. But since it is pretty cheap to stay, you get what you pay for. The light is blinking so I had to go buy a new light bulb. The restroom is the part which I do not particularly like. There were no shampoo, body soap prepared. I have to admit I wasn't feeling comfortable to take shower there. But to be honest, if you pay less, don't expect more right?  I am not sure if I am the one who is picky or not. 

The internet is ok if you don't need watch videos on line. I was in Boston for Career Forum and it took me 2 hours to watch a 40 min company introduction video because of the slow connection. I was very frustrated but again whom I can blame?

The room is not really clean but I had clean sheet, clean towels. I could not find the heater? so it was a little bit chilly during the night. 
I think there is a lot of improvements can be done in that room but again I only paid that little money to stay. I didn't expect much but if you care about cleanliness and comfort, I recommend you to pay more for a better place.  

But I have to say Sean is a good guy. Since I forgot my charger in his house, he shipped it to me with express shipping. I really appreciate him doing that for me. 

I think for me, he just really needs to hire one guy to clean the whole place once thoroughly. ","Mission Hill"
"25412","It was my very first airbnb experience and I loved it.
They kindly accepted our sudden request, and I really appreciate it.
They welcomed us very friendly.
Their room was very nice and everything was great.
I wish I could have a little more time to hang out with them.
Thank you so much!!!","Mission Hill"
"16506","Nicolas has an amazing place and I love staying there! The bed in the master bedroom is so comfortable! Will be staying here whenever I am in Boston.","Leather District"
"28538","WOW, WOW, WOW!!!!!!! This loft is ABSOLUTELY AMAZING!!! The pictures in the profile truly do not do justice to how HUGE this space is. Plus Joe is a great host, very responsive and very flexible. It was sooo easy that I'll never go back to staying in a hotel again and when i go back to Boston I will DEFINITELY stay at Joe's again. The neighborhood is quiet and within walking distance of basically everything in the city and the South St station always has cabs ready to go. There is an awesome diner on the corner that is open 24/7 and some really classy restaurants and a french wine bar directly across the street. Minutes from the Commons, what else do you need??? If you visit Boston, stay here, you will thank me...and Joe!!!!","Leather District"
"16177.1","After booking I found out that Kara is a representative of a company, not a host per se. This was only my second experience with airbnb so I was surprised.   The apartment is large, clean, but impersonal.  Great airconditioning, a priority for a hot boston week.  Helpful doormen. Great location near hospitals and museem of fine arts. 

.The staff leave starter bags of dishtowels, dish soap, toiletries. Nice.  But Took 5 calls to 3 different numbers to check out...the 2 numbers on  the check out sheet were """"unavailable"""" so had to go back to one on Kara's email. Frustrating.


","Mission Hill"
"921","Sean was good with communication, it was cheap and for one night worked ok. We did have several problems however. Room really is very small. Arm length and a half wide and two lengths long, clean enough but not sparkling which is ok can't expect too much for 80 a night, but I wouldn't stay there again. I've stayed at the Hostel in Chinatown and although you don't get a private room you still have more space than Sean's place and as a single traveler you'll save 20 bucks. Our biggest problem was in the bed. I laid down and there was no way it was holding us for the night. We literally had to sleep with the mattress on the floor because the plywood and 1x planking couldn't hold us. I'm not small but we aren't huge either. Id say if your going to build a bed do it with materials that will hold weight, 2x4's and posts not extra flooring really poorly put together. Sean should spend the money and go to ikea. Our other problem and this one was awkward was a knock on the door around 1030 am wanting to look at the """"apartment"""" I was in my underwear and well 4 people in that tiny room with me in my undies was a bit awkward. One person one night on a budget ok, but I'd still stay at one of the hostels if traveling alone and honestly with two of us even as a couple it was too small.  We really aren't that picky I promise, it just even for the inexpensive price was not worth the value. ","Mission Hill"
"28604","Jazz was a wonderful host - she had everything prepared and ready for me.  She also gave me a whole bunch of pointers for things to see and places to go in Boston.  

The place is spotless and spacious. It's a short walk to Chinatown.  City transport was also very accessible.","Leather District"
"28705","great loft, great location, great host. 
bottom line: wonderful experience!","Leather District"
"824","L'appartement est proche de la ligne E, et tout le nécessaire est présent. Sean répond rapidement aux messages. 
Cependant l'appartement est sale (poubelle non vidée, les toilettes ne sont pas entièrement nettoyé, le dessous du lit n'a pas du voir de ballet depuis 6 mois...) et manque vraiment d'entretien. Il y a un trou dans la fenêtre qui laisse passe l'air et le bruit. Du coup on entend tout dehors... 
Bien pour une ou deux nuits max si vous avez un tout petit budget...","Mission Hill"
"27476","Alexandra was very accommodating. We arrived before the check in time and she invited us to pass by her office (1 minute from the house) to pick up the keys and make ourselves comfortable at home. She also allowed us to leave our luggage at home during the day of departure, although in the end we didn't have to. During our stay, she behaved in a polite and quiet way. 
The """"cozy private room"""" is indeed cozy and the bed is comfortable for two people. There is enough room in the closet to put your belongings. However, the room has no proper ventilation and gets a little stuffy. I found the general hygiene only moderately correct. Linens and towels were freshly washed, but not the cover or the floors. The bathroom and the kitchen were not very clean either: hair in bathtub and sink, dirty dishes, etc. The entrance stairs that lead to the apartment are really smelly and dirty. I don't mean that it was unbearable, but since all reviews claim that the apartment is super clean, I just wanted to emphasize that according to certain standards it was not. 
Internet worked perfectly, and the T and bus connections are just as Alexandra describes, so no surprises to that effect.
I thank Alexandra for welcoming us in her home!","Mission Hill"
"28612","This has been mentioned in other reviews, but I'll say it again: the photos don't do this apartment justice! HUGE space and very very clean. I would rate this above my best hotel visits. Jazz is a great host and very detail-oriented. She was available throughout our stay for questions via text/phone and also left a helpful printout guide for the apartment. She also included (in the guide) some of her favorite places to eat and where to find necessities (toiletries and coffee) in neighborhood.","Leather District"
"860","Sean was very responsive.  The unit was compact, clean and perfect for our needs.  Couldn't have been easier! Great location, very easy to get around.","Mission Hill"
"28688","Staying at Jazz's place makes you feel at home. The house is well-organized, clean, and comfortable—And yes, the location really is close to everything. 

Jazz is a lovely and helpful host. My girlfriend and I were visiting to survey the area for the possibility of living there in the future, she then spent a significant amount of time answering our questions and helping find apartments.

10/10 would stay again.","Leather District"
"15538","The apartment was exactly as described and pictured. The location was great as it was on one of the main tramlines to downtown. Lots of take-away places nearby and a supermarket round the corner. This place was perfect for me as I just needed somewhere to crash at night but it would be a tight squeeze for 2 people. Sean very kindly waited in for me as I arrived late (3am) so I was very thankful for that. He was very helpful and answered most of the questions I had. A little expensive for what it is (going on what I have had elsewhere) but I guess that's because it is Boston. All in all very pleasant experience.","Mission Hill"
"28684","I had a really great experience with Jazz. Her place is super clean and modern with a comfy bed. Very convenient to great food, entertainment, Boston Common, South Station, etc. She really should charge more for such a nice place! No doubt I'll book with her again.","Leather District"
"13227","Awesome place, just as described. Communication with owner was transparent and everything went smooth. Great location, walking distance to many of Boston's best. Highly recommend this place for your stay in Boston!","Leather District"
"28624","Jazz is a very warm host. Although she had just got out of hospital, she was upbeat and very helpful. Her loft is in a great location. Certainly recommend friends visiting Boston to stay with her. ","Leather District"
"28542","Joe's place is great! It is about 5 mins walk from South Station, Chinatown and the Common so a perfect base for exploring the city. 
The flat was really cosy and we felt really at home there. Oh and the beds are so comfortable! We were late getting in from the airport and Joe stayed around until we arrived.  He was on hand to answer any questions we had during our stay. The neighbourhood was quiet and safe, with a great store a few doors up and the famous South Street Diner on the corner. I can't recommend this place highly enough :-)","Leather District"
"28701","This is how you do it! Fast communication pre booking, excellent arrival instructions, fabulous place style wise, comfy bed, air con, great shower. It's under five mins from south station and was pleased I'd picked this location over back bay etc, for ease of walking everywhere. Jazz knows what she's doing . Definitely stay here.","Leather District"
"27478","Bed was very uncomfortable and apartment had the waft smell from subway downstairs but it's ok if you are looking for somewhere to stop over","Mission Hill"
"15627","This apartment is fine if you are only spending a short time there and just need somewhere for a night. I would not recommend it for longer. The location of this flat is excellent, it is right on the green T line and is near to some good places to eat and local shops. The flat itself, however, is rather tired and is in desperate need of decorating and thorough cleaning. The fan is hanging off the bathroom ceiling, a light is missing, walls and sheets are also stained and the room itself needs quite a lot of work. There is a single bed and an air bed so having a double bed is quite tricky especially given the very small dimensions of the room. Sean was helpful and responded to emails quickly so I can only give positive reviews of the host himself. ","Mission Hill"
"15601","Pros: 
- good location
- easy access to public transportation
- wireless internet, running water, lights turn on
- host was prompt with responses via email/text/phone
- reasonable price

Cons:
Despite what the host says, there are STILL bed bugs at this apartment. My friend and I found bugs EVERY, SINGLE night and woke up with bites. I took pictures of the bugs too and would post it up if it were possible. When the problem was addressed to the host  in person at the end of my stay, he came off as defensive and kept repeating the fact that he had hired someone to get rid of the bed bugs already. But at the end of the day, there are still bed bugs so it doesn't matter to me if someone was hired to exterminate the bugs already. I understand that this place was fairly inexpensive to rent, but the apartment was dusty and bug infested. I had to frantically wash all my clothes and sheets when I got home. ","Mission Hill"
"28674","Jazz was a great host.  Great communication, nice room, and great location.  I would definitely stay hear again anytime I visit Boston.","Leather District"
"15693","Communication with the host was satisfactory. The Apartment was very disappointing. There was no stopper for the bath or basin and the basin faucet dripped all the time. The cover was missing from the extract fan which was clogged with dust. The bed was a mattress on the floor. My wife and I are 68 and fortunately we are both fit but the mattress would have been a problem for a less able couple.The smoke detector in the bedroom was hanging from the ceiling  secured by the electrical wiring. Both blinds in the bedroom were broken and did not operate. There was mold on the bathroom tiles.Only one element on the cooker worked. The whole apartment would have been vastly improved with a decoration and attention given to the above points none of which would have involved large financial expense.
I would not recommend this apartment to anyone.","Mission Hill"
"28693","I felt very welcomed and accommodated. The location was extremely convenient and Jazz gave me great recommendations for restaurants. She added personality to my business trip.","Leather District"
"16501","We had a really nice time!  The place was awesome.","Leather District"
"28660","My stay at Jazz's place was fantastic. She was very hospitable and helpful and offered several suggestions for places to eat and visit in the area. Jazz has a beautiful and very clean apartment. The bedroom is great and has a very comfortable bed. I absolutely enjoyed my stay with Jazz and will definitely stay there again if her place is available.","Leather District"
"28685","Jazz was a great host. The apartment and room are super cool, clean, and comfortable. Jazz was flexible in meeting up to exchange keys, interesting to chat with, and totally accommodating. Would book again.","Leather District"
"15571.1","Positive points: this very small flat (definitively for a single) is well situated, very close to a T station linked to downtown in 15mn.
Negative: it requires to be refurbished urgently: very old, numerous failures, electric network outdated and dangerous, but it is also dirty (room and washroom). Sean do not do the minimum after each stays. Additionally, you are not allowed to switch off the old PC, so you have the noise made by the CU all along the night (+ the fridge noise, plus the dropping tap + the roar of the avenue...): don't miss your ear plugs.
I met a stressed Sean 15 mn on arrival and bye-bye. No guest book in the room with key informations and advices...
Sean is not fair enough and do not fulfill the Airbnb minimum requirements. 
The price is good... until you discover the reality.","Mission Hill"
"13225","Mat is a good guy. He made both of us feel very welcome and was on hand to answer any questions throughout the 2 weeks we stayed there.  The apartment was perfect as just a few steps from the office.  Brilliant, homely and well equipped with everything we needed.  Beds were comfy and large.  Great location and will def recommend to other  people in the business if they stay in the future.  Thanks for being o flexible Mat :)","Leather District"
"28645","The stay in Jazz's apartment helped me enjoy Boston even more because of the feeling of returning home. The loft is amzing. Jazz is restless in making you feel at home and at ease around town. The bed gives you the proper rest.","Leather District"
"28680","The place is exactly how it looks in the pictures, and Jazz is extremely firnedly and welcoming. I stayed for 8 days and she only slept at the apartment 2 or 3 nights. It is in a great location if you are looking to be near the convention center, I could walk there in 15-20 minutes. I also was able to walk to the Freedom trail and other attraction sites easily from her spot. The bed is super comfy, I was never cold and the place is immaculately clean. I would definetly recommend this rental again and again. ","Leather District"
"28646","This place is picture perfect. Great location, awesome aesthetic and the host is super thoughtful. Would stay here again---every time! ","Leather District"
"891.1","I came to this listing knowing it would be a small, cozy apartment almost like a student dorm with a small private bathroom. What I didn't expect was how filthy it was. First off, the location is awesome. It is in an area near a ton of universities and right around the corner are plenty of food places and a couple of bars. It's right next to the E-Train so you have access everywhere! There is even a grocery store and pharmacy a block away. I would of had a more positive experience if the apartment wasn't filthy. I checked in early and the previous tenant's used towel and linens were still in the room. I checked in early at noon instead of 1, so I didn't mind. The house manual says that Sean comes in about one time per day to change linens, around 3PM. I left for the day to return around 6PM and the room still had not been cleaned so I contacted our host who said he was unavailable to come at the moment. He ended up coming by later that night around 10:30PM after some pleading and changed the linen and the towels. The room had clean linen now, but the room was still dirty. There was a lot of dust, stains of dried sticky liquid accumulated with dirt under the bed, and the bathroom had bugs. Several bugs would show up in the bathroom and rest on the towels. When he came in that first night, he didn't clean the floors or the shower floor and with the addition of bugs in the bathroom, I did not feel comfortable and ended up not showering for the duration of my stay. I told Sean about the bugs and he said he """"was sorry I had to see that"""" and blamed it on the missing tiles which he said he was going to come in the next day to fix, which he did not. Later, there was a discrepancy with the lock box which I wanted to notify him about and he responded by insulting another tenant. Honestly, although he was very nice in person, I think he may have too much on his plate and is in turn neglecting his duties as a host on AirBnB and would therefore not recommend staying with him at all.","Mission Hill"
"16513","Nicolas was a great host and I loved the place. He was very responsive to communication and the place itself was cozy. And all the reviews about the comfortable bed are true!","Leather District"
"23747","Alexandra was really accommodating upon our arrival. She arranged to give us the keys even if she was not at home when we arrived.
She also allowed us to us the laundry machine, which we really appreciated!
The room is exactly as on the picture. The beds were actually air mattresses, which we did not noticed while reading the add... The room and the bathroom were clean.
The two negative points are that 1) the air conditioning conducts directly opens in the room and the air conditioning sometimes starts in the middle of the night blowing cold air on your face and making a lot of noise and 2) that the smell of the Subway restaurant spreads in the whole apartment.
Otherwise, the house was located close to the subway which was really convenient to go in town.  The neighborhood was great. There were some cafe and bars. There was also a supermarket close to the subway.
In my opinion, this place is nice for a short stay.","Mission Hill"
"28607","I stayed for 4 nights with Jazz.  She was a fantastic host, very friendly and helpful.  Her apartment is beautiful and  clean.  The bed is super comfortable.  And the location in perfect for exploring  Boston on foot, with great access to metro to commute to the surrounding area.","Leather District"
"40692","We stayed at Alexandra´s place for two nights, four people (two couples) and we rented out the two rooms. Issues as stated by other guests include: Subway smell, cleanliness of the bathroom and rooms, air conditionning always on (made a very loud noise in the room with the two  air beds) and locked with password.  We completely agree with Chases's review. ","Mission Hill"
"28537","This is a BEAUTIFUL apartment located very close to the train/bus station and a short walk to the convention center.  The apartment was extremely neat and clean.  The bedrooms are located along the interior of the building, so you will not deal with noise from outside.

Joe was excellent with communication and setup, and will make your stay go smoothly.  Since my train didn't leave until a few hours after checkout, he had no problem with us keeping our bags there until we left.

There is a great little restaurant and a wine bar across the street, and there is a store downstairs and slightly south on the same block as the apartment if you need to pick up any incidentals (or a bottle of wine).

It's a 3rd floor walk-up, so keep that in mind so you aren't surprised when you get there.

I highly recommend this location, and I would definitely stay here again in the future.","Leather District"
"15762","As advertised.  Nice little place in a good area.  Nothing to complain about!","Mission Hill"
"15693.1","Communication with the host was satisfactory. The Apartment was very disappointing. There was no stopper for the bath or basin and the basin faucet dripped all the time. The cover was missing from the extract fan which was clogged with dust. The bed was a mattress on the floor. My wife and I are 68 and fortunately we are both fit but the mattress would have been a problem for a less able couple.The smoke detector in the bedroom was hanging from the ceiling  secured by the electrical wiring. Both blinds in the bedroom were broken and did not operate. There was mold on the bathroom tiles.Only one element on the cooker worked. The whole apartment would have been vastly improved with a decoration and attention given to the above points none of which would have involved large financial expense.
I would not recommend this apartment to anyone.","Mission Hill"
"15763","While affordable, you will make concessions stay in this studio. The bathroom needs a deep cleaning. The sink needs repair (it drips and previous guests have Macgyver'd a sponge to dampen the noise). The beautiful looking drafting table wasn't there when I stayed. The host interrupted me in the middle of my stay and asked if I wanted clean sheets... I would have appreciated a message beforehand that he would not have an opportunity to clean the studio before my arrival, and to expect him.","Mission Hill"
"28602","Great modern loft, conveniently located smack in the middle of Boston. Host was courteous, and considerate to prepare breakfast in the morning.","Leather District"
"15478","Sean is excellent on (email hidden)a phone and e-mail. Pleasant and easy-going. 
   The studio is small and basic. It  has what you need for a quick night's stay.  The bed is a twin. The pull-out bed doesn't make it a double. Excellent internet. He leaves terminal his on.
   Location: You're basically at Brigham and Women's hospital. We walked to the Pru Center in about 30 minutes. Lots of schools are closer than that. It's just a few easy blocks from Green Line metro/Brigham Circle. The 'T' is about five-10 minutes from downtown. 
   Very good stores such as a good Stop n'Shop supermarket and Walgreen pharmacy. Very good internet access..he leaves his computer on. 
   Drawback? Old building not a dream, but fine. Neighborhood is fairly dodgy, but I parked on the main drag unde street lights and around stores. No problem. 
   I'd go back for another stay.","Mission Hill"
"28610","It was excellent place to stay!
Although she was not in there when we are staying, it was very nice to stay by ourselves in those great place. Also, she was so kind for leaving messages for us even during her holidays. ","Leather District"
"17806","I got the place because it was convenient and only a walking distance from BIMC.
However; I think it's way over priced I paid 6k for a one month stay and had to pay extra for parking . The whole building smells so bad. It takes forever to get on the elevator and when you do finally get on one you're like a sardine with 8 Indians from India or Arabs.
There was a sewage leak in the hallway for like 5 days.
For the amount of money I paid you'd think that you would have a washer or dryer but no. Also The bed was extremely uncomfortable. And college kids on the floor were loud most nights! 
Looking back i should've booked a hotel. It would've cost the same for a much pleasant experience. 
","Mission Hill"
"26321","Gustavo tried to manage the Airbnb rental from outside of the state.  Unfortunately, he did not include his housemates in the process.  When I arrived, nobody opened the door for me until the downstairs neighbors finally rescued me.

It is completely unrealistic and inappropriate to try to host AirBnB if a specific host with a specific plan is not present!!","Mission Hill"
"28648","I needed a place to stay just for one night and I needed it to be close to the financial district, in walking distance of South Station. This was perfect for me! It is a really easy, short walk from South Station and in a nice neighbourhood. Jazz is a wonderful host, very kind and helpful and her room is just beautiful. The bed was as comfortable as my bed at home and the bed linen was lovely! The room, the bathroom and the rest of the apartment were all spotlessly clean and tidy. It was only a short stay but it was a good one! Thanks so much.","Leather District"
"28692","Jazz was a super friendly and accomodating host with great recommendations of how to get around and where to eat during my stay in Boston.  Her loft is just as described, very clean and spacious. I would absolutely stay here again!","Leather District"
"28694","My short stay at Jazz's place is totally beyond expectations. Jazz is such an amazing host that I immediately wanted to become her friend. She's very knowledgeable of the cool places in the city and she has great taste, don't forget to ask her for advises if you are looking for the best of Boston! Her artsy and comfy apartment is like a home in town, I'd strongly recommend it to all my friends.","Leather District"
